Rank,m/z,Formula,Loading,Loading_Abs,Variance_Contribution_Percent,Chemical_Family,DBE,H_C_Ratio,Saturation,Aromatic,Dose_Change_Percent,P1_SQ1,P1_SQ2,P1_SQ3,P1_SQ4,P1_SQ5
1,1.00845,H,0.5893599517730158,0.5893599517730158,34.734515275389136,Unknown,0.0,0.0,Saturated,No,12.186843391147454,0.34445130439442434,0.3519661694590123,0.36603812813780695,0.3750391307061837,0.38642904541973744
2,25.00851,C2H,0.38365630054755634,0.38365630054755634,14.719215694983681,Unsaturated_carbon,2.5,0.5,H-deficient,No,15.07092850613204,0.19052306335062577,0.19648299117465315,0.20181947506552114,0.2109273059779386,0.21923665801589123
3,13.00847,CH,0.25111517632724545,0.25111517632724545,6.305883178186354,Unsaturated_carbon,1.5,1.0,Unsaturated,No,15.704090114510963,0.11817998110713702,0.12266678464185114,0.1295741732923815,0.1320345051922014,0.13673907183751385
4,49.00858,C4H,0.2163899904607863,0.2163899904607863,4.682462797161917,Unsaturated_carbon,4.5,0.25,H-deficient,No,15.595623585658256,0.10769729180546457,0.11060296580949101,0.11369944732689703,0.12011870393145156,0.1244933560473928
5,53.0038,C3HO,-0.19015994244290552,0.19015994244290552,3.6160803709889127,Organic_oxygen,3.5,0.3333333333333333,H-deficient,No,19.556398510963977,0.08368000537618119,0.08089930666872043,0.07428979214543002,0.07201532065090034,0.06999207605647913
6,41.00403,C2HO,0.1654538430297547,0.1654538430297547,2.737497417331469,Unknown,2.5,0.5,H-deficient,No,11.26447578023588,0.11956930619302923,0.12328515379525846,0.1256740050183317,0.1301127164576322,0.1330381617297391
7,17.00337,OH,0.16187342592130305,0.16187342592130305,2.6203006019499577,Hydroxyl,0.0,0.0,Saturated,No,6.928304512979433,0.18100834511811595,0.18830865104507935,0.19116605809193457,0.19067194891850717,0.19354915446180376
8,44.99851,CHO2,0.14942967735757356,0.14942967735757356,2.2329228475188523,Organic_oxygen,1.5,1.0,Unsaturated,No,15.815112037555402,0.07391320281442294,0.07676441960188872,0.07912501768659118,0.08334191098117705,0.08560265865006948
9,73.00905,C6H,0.1405751940872452,0.1405751940872452,1.9761385192666645,Unsaturated_carbon,6.5,0.16666666666666666,H-deficient,No,18.986173498936157,0.05767252472141488,0.059553410206688605,0.06208681854594502,0.06569381605536334,0.06862233032623956
10,47.99987,C4,0.13922410551444192,0.13922410551444192,1.938335155629645,Unknown,5.0,0.0,H-deficient,No,20.685347943502023,0.05026502254068257,0.05252696627875386,0.054802558288207404,0.057788304346954096,0.06066251734710248
11,12.00056,C,0.13662600661726745,0.13662600661726745,1.8666665684181603,Unknown,2.0,0.0,H-deficient,No,12.736946264674506,0.07645737993407165,0.07948924217884046,0.08336961401208202,0.0837181296895529,0.08619571533165238
12,43.01976,C2H3O,0.11390809233917058,0.11390809233917058,1.2975053500349008,Organic_oxygen,1.5,1.5,Unsaturated,No,24.795687348854443,0.03609626973879507,0.03825051738912335,0.04075890654675073,0.04326525177630949,0.04504658792782585
13,67.02152,C4H3O,-0.10643701500610503,0.10643701500610503,1.132883816340982,Organic_oxygen,3.5,0.75,H-deficient,No,13.696921434992419,0.060158753787334505,0.05902683326256886,0.055117750794705135,0.05387991561886136,0.0529115063346117
14,15.99546,O,0.10542182317034554,0.10542182317034554,1.1113760800559598,Organic_oxygen,0.0,0.0,Saturated,No,6.249701297677836,0.1830217054645851,0.19183393882162134,0.19446001536603738,0.18923657724850637,0.1901039796554386
15,72.00062,C6,0.10518642147174008,0.10518642147174008,1.1064183262030538,Unknown,7.0,0.0,H-deficient,No,32.64918399896866,0.024849870600365448,0.027007385435926876,0.02843109331545296,0.030917597049342743,0.03296315057618438
16,77.04295,C6H5,0.10068798317765554,0.10068798317765554,1.013806995638384,Unknown,4.5,0.8333333333333334,Highly_unsaturated,No,42.29960880552789,0.017960522069782558,0.019507621389817775,0.02215465424963449,0.024523722261623627,0.02555775264473108
17,36.00072,C3,0.0990176543968687,0.0990176543968687,0.9804495882257727,Unknown,4.0,0.0,H-deficient,No,12.938908640347977,0.05618378290339277,0.0581243618547159,0.05926882311512993,0.06152880669474304,0.06345335124395421
18,42.0029,CH3Al,0.09837481049843316,0.09837481049843316,0.9677603340602633,Al-based,0.5,3.0,Unknown,No,28.551936275245783,0.024894340241827042,0.025337683022213352,0.027629464250029642,0.03067842148584631,0.032002156403816366
19,60.00107,C5,0.0971283491304554,0.0971283491304554,0.9433916204807633,Unknown,6.0,0.0,H-deficient,No,25.572354699110907,0.02954482668024593,0.03175749016653762,0.03306225568377256,0.03529746868715714,0.03710013455415597
20,62.01846,C5H2,0.09356625966480657,0.09356625966480657,0.8754644947662005,Unsaturated_carbon,5.0,0.4,H-deficient,No,19.588677564331928,0.03714027342268505,0.03885572103279351,0.04051355837396067,0.04284297254468052,0.04441556182996609
