Rank,m/z,Formula,Loading,Loading_Abs,Chemical_Family,DBE,H_C_Ratio,Saturation,Aromatic,Dose_Change_Percent,P1_SQ1,P1_SQ2,P1_SQ3,P1_SQ4,P1_SQ5
1,91.05451,C7H7,0.36176807414272427,0.36176807414272427,Aromatic,4.5,1.0,Highly_unsaturated,Yes,35.608521071392694,0.06787130038394781,0.07325591356059329,0.08088320341827208,0.08637034087252772,0.0920392666825941
2,77.03938,C6H5,0.3147549428594479,0.3147549428594479,Aromatic,4.5,0.8333333333333334,Highly_unsaturated,Yes,23.146231949222447,0.09375227398203885,0.09981527555042569,0.10567221413789822,0.10998692378939039,0.11545239277559209
3,79.05366,C6H7,0.2465265952129407,0.2465265952129407,Aromatic,3.5,1.1666666666666667,Unknown,No,30.747886797563133,0.0537180964693838,0.05750203293837905,0.062018000852926934,0.06642383239090975,0.07023527596159569
4,65.03927,C5H5,0.24250881954755824,0.24250881954755824,Unsaturated_carbon,3.5,1.0,Unknown,Yes,23.42276121619111,0.070304471941881,0.07491979049748194,0.0794982283079303,0.08325779234019119,0.08677172052913186
5,67.05494,C5H7,0.22178641471686092,0.22178641471686092,Unsaturated_carbon,2.5,1.4,Unsaturated,No,19.801991632497174,0.0748736040647812,0.077802810820948,0.0820527328634214,0.0857023742588963,0.08970006887663824
6,77.00371,C5HO,0.20781219898995126,0.20781219898995126,Organic_oxygen,5.5,0.2,H-deficient,No,29.968993263721664,0.047358736050822504,0.05089071114305893,0.05501493287981782,0.05763637290793972,0.061551672467677225
7,53.0382,C4H5,0.19906122615932265,0.19906122615932265,Unsaturated_carbon,2.5,1.25,Unsaturated,No,11.417502888448862,0.11690226650288149,0.11999951773964564,0.12422995506546879,0.12701205069697064,0.13024958615751017
8,78.0429,C6H6,0.1989243837465293,0.1989243837465293,Aromatic,4.0,1.0,Highly_unsaturated,Yes,30.954973279881536,0.04361652430732696,0.04704397779730971,0.05069497516180425,0.05387671373000589,0.057118007752273055
9,63.02078,C5H3,0.1962229196087939,0.1962229196087939,Unsaturated_carbon,4.5,0.6,H-deficient,No,21.35236456651902,0.06247427323378604,0.06554895402043043,0.06913751885369851,0.07231331790657435,0.07581400781494725
10,41.03987,C3H5,0.19072186252889967,0.19072186252889967,Unsaturated_carbon,1.5,1.6666666666666667,Unsaturated,No,5.117838051040866,0.24562775244319657,0.24812362280825997,0.251792153429264,0.25507237439818836,0.25819858302165094
11,26.98166,Al,-0.18003262471477063,0.18003262471477063,Al-based,0.0,0.0,Saturated,No,4.127917174457914,0.28078727931697967,0.2778473619596616,0.27396926176162156,0.27029059328718635,0.2696560988985723
12,51.02233,C4H3,0.17470870322600812,0.17470870322600812,Unsaturated_carbon,3.5,0.75,H-deficient,No,13.457694702172946,0.08772785118104835,0.08994386483290932,0.09298738869068363,0.09613285201794342,0.09953399756177046
13,81.07049,C6H9,0.16020524550680323,0.16020524550680323,Unsaturated_carbon,2.5,1.5,Unsaturated,No,22.014396279468805,0.048020296105250715,0.049898222871276356,0.053257931110769326,0.05572594167574845,0.05859167438443493
14,93.06637,C7H9,0.15990839321887912,0.15990839321887912,Aromatic,3.5,1.2857142857142858,Unknown,No,41.42090938081869,0.025721706265198253,0.027557414876016432,0.030519193282087576,0.03346213013849562,0.036375870908506386
15,75.02402,C6H3,0.14651542056585093,0.14651542056585093,Aromatic,5.5,0.5,H-deficient,No,28.443452891950127,0.03463960513599076,0.03669690090631387,0.039581095446966266,0.04202832406919967,0.044492304904803825
16,76.02955,C6H4,0.13361372378796532,0.13361372378796532,Aromatic,5.0,0.6666666666666666,H-deficient,No,33.840977409480985,0.02686278194779501,0.029154665174575222,0.03183229561252921,0.03380802657021864,0.03595340991830646
17,66.04549,C5H6,0.12954242834620303,0.12954242834620303,Unsaturated_carbon,3.0,1.2,Unsaturated,No,23.887221848663962,0.03719248515384182,0.03962268965237691,0.0420308031748668,0.043889632875021393,0.04607673659357142
18,57.03274,C3H5O,0.1255898741052731,0.1255898741052731,Organic_oxygen,1.5,1.6666666666666667,Unsaturated,No,20.831676158008385,0.041066095813099605,0.04358888881359979,0.04564246680917932,0.047780721438151236,0.049620851903621956
19,95.08577,C7H11,0.12174764247182607,0.12174764247182607,Unsaturated_carbon,2.5,1.5714285714285714,Unsaturated,No,28.335174379619453,0.02805506929351639,0.02930259712402331,0.031684967246449,0.03395596242594961,0.03600452210015733
20,89.03701,C7H5,0.11910426864677985,0.11910426864677985,Aromatic,5.5,0.7142857142857143,H-deficient,No,26.047067488148823,0.030960419227675628,0.03301491646410077,0.03516620776004547,0.03727967359927853,0.0390247005185221
